timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W]
2026/08/04 19:15:26.739, NVIDIA GeForce RTX 4070 Laptop GPU, 79, 7915, 8188, 73, 55.74
2026/08/04 19:15:56.788, NVIDIA GeForce RTX 4070 Laptop GPU, 60, 7915, 8188, 73, 53.21
2026/08/04 19:16:26.832, NVIDIA GeForce RTX 4070 Laptop GPU, 67, 7915, 8188, 74, 52.01
2026/08/04 19:16:56.894, NVIDIA GeForce RTX 4070 Laptop GPU, 67, 7915, 8188, 74, 55.37
2026/08/04 19:17:26.950, NVIDIA GeForce RTX 4070 Laptop GPU, 82, 7915, 8188, 74, 56.94
2026/08/04 19:17:56.997, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 7915, 8188, 74, 55.64
2026/08/04 19:18:27.039, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7915, 8188, 73, 54.73
2026/08/04 19:18:57.085, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7915, 8188, 73, 55.58
2026/08/04 19:19:27.124, NVIDIA GeForce RTX 4070 Laptop GPU, 69, 7915, 8188, 74, 54.77
2026/08/04 19:19:57.163, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 76, 30.55
2026/08/04 19:20:27.203, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7915, 8188, 72, 55.03
2026/08/04 19:20:57.245, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7915, 8188, 71, 54.98
2026/08/04 19:21:27.288, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 68, 35.28
2026/08/04 19:21:57.333, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 66, 41.46
2026/08/04 19:22:27.385, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7915, 8188, 68, 54.90
2026/08/04 19:22:57.430, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7915, 8188, 68, 54.92
2026/08/04 19:23:27.469, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 66, 35.30
2026/08/04 19:23:57.504, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 64, 33.63
2026/08/04 19:24:27.538, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7915, 8188, 67, 54.86
2026/08/04 19:24:57.582, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7915, 8188, 68, 54.96
2026/08/04 19:25:27.637, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 66, 42.06
2026/08/04 19:25:57.678, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 64, 35.11
