timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/10 14:07:24.866, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 58, 32.94, 2490
2026/07/10 14:08:24.907, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7885, 8188, 61, 52.24, 2490
2026/07/10 14:09:24.945, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7889, 8188, 60, 54.67, 2160
2026/07/10 14:10:25.012, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 30.80, 2490
2026/07/10 14:11:25.048, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7889, 8188, 61, 54.69, 2265
2026/07/10 14:12:25.083, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7889, 8188, 57, 54.81, 2145
2026/07/10 14:13:25.117, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7889, 8188, 60, 54.73, 2025
2026/07/10 14:14:25.153, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 31.25, 2490
2026/07/10 14:15:25.192, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7889, 8188, 59, 54.69, 2295
2026/07/10 14:16:25.240, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 30.50, 2490
2026/07/10 14:17:25.290, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 56, 32.52, 2490
2026/07/10 14:18:25.346, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 58, 31.63, 2490
2026/07/10 14:19:25.401, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 30.40, 2490
2026/07/10 14:20:25.458, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 56, 35.24, 2490
2026/07/10 14:21:25.490, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 57, 32.22, 2490
2026/07/10 14:22:25.527, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 57, 32.36, 2490
2026/07/10 14:23:25.563, NVIDIA GeForce RTX 4070 Laptop GPU, 57, 7889, 8188, 59, 45.71, 2490
2026/07/10 14:24:25.665, NVIDIA GeForce RTX 4070 Laptop GPU, 79, 7889, 8188, 60, 50.69, 2490
2026/07/10 14:25:25.712, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 31.77, 2490
2026/07/10 14:26:25.745, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7889, 8188, 58, 54.21, 2235
2026/07/10 14:27:25.795, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 56, 31.81, 2490
2026/07/10 14:28:25.831, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7889, 8188, 57, 55.11, 2115
2026/07/10 14:29:25.871, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 57, 33.63, 2235
2026/07/10 14:30:25.915, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7889, 8188, 58, 54.78, 2070
2026/07/10 14:31:25.955, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 42.43, 2490
2026/07/10 14:32:26.014, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7889, 8188, 59, 54.84, 1995
2026/07/10 14:33:26.050, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7889, 8188, 58, 54.88, 1995
2026/07/10 14:34:26.095, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 31.27, 2490
2026/07/10 14:35:26.126, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7889, 8188, 58, 54.81, 2055
2026/07/10 14:36:26.177, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 57, 33.96, 2190
2026/07/10 14:37:26.220, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7889, 8188, 59, 54.94, 1995
2026/07/10 14:38:26.261, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 40.52, 2490
2026/07/10 14:39:26.307, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 57, 41.56, 2490
2026/07/10 14:40:26.348, NVIDIA GeForce RTX 4070 Laptop GPU, 69, 7889, 8188, 61, 54.12, 2490
2026/07/10 14:41:26.406, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7889, 8188, 60, 54.76, 2220
2026/07/10 14:42:26.444, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 56, 39.54, 2490
2026/07/10 14:43:26.496, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7889, 8188, 57, 54.64, 2055
2026/07/10 14:44:26.531, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7889, 8188, 58, 54.90, 2010
2026/07/10 14:45:26.583, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7889, 8188, 58, 54.80, 2145
2026/07/10 14:46:26.624, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 57, 47.83, 2490
2026/07/10 14:47:26.661, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7889, 8188, 58, 55.03, 2055
2026/07/10 14:48:26.716, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 31.67, 2490
2026/07/10 14:49:26.759, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7889, 8188, 59, 54.89, 2025
2026/07/10 14:50:26.809, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 35.49, 2490
2026/07/10 14:51:26.845, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7889, 8188, 59, 54.99, 2175
2026/07/10 14:52:26.893, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 54, 35.43, 2490
2026/07/10 14:53:26.927, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7889, 8188, 59, 54.98, 1920
2026/07/10 14:54:26.977, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 54, 35.51, 2490
2026/07/10 14:55:27.025, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7889, 8188, 56, 45.90, 2265
2026/07/10 14:56:27.082, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 31.12, 2490
2026/07/10 14:57:27.116, NVIDIA GeForce RTX 4070 Laptop GPU, 54, 7889, 8188, 59, 47.63, 2490
2026/07/10 14:58:27.163, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7889, 8188, 60, 54.94, 2025
2026/07/10 14:59:27.208, NVIDIA GeForce RTX 4070 Laptop GPU, 84, 7889, 8188, 57, 50.42, 2325
2026/07/10 15:00:27.265, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 56, 31.45, 2490
2026/07/10 15:01:27.303, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7889, 8188, 57, 54.88, 2115
2026/07/10 15:02:27.347, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 56, 39.70, 2490
2026/07/10 15:03:27.385, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7889, 8188, 58, 54.99, 2070
2026/07/10 15:04:27.429, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 57, 41.28, 2490
2026/07/10 15:05:27.464, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7889, 8188, 60, 54.90, 2070
2026/07/10 15:06:27.516, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 31.19, 2490
2026/07/10 15:07:27.552, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7889, 8188, 59, 54.72, 1980
2026/07/10 15:08:27.595, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 55, 31.32, 2490
2026/07/10 15:09:27.634, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7889, 8188, 59, 32.35, 2070
2026/07/10 15:10:27.674, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7889, 8188, 58, 38.07, 2205
2026/07/10 15:11:27.725, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7889, 8188, 57, 35.04, 2490
2026/07/10 15:12:27.762, NVIDIA GeForce RTX 4070 Laptop GPU, 78, 7889, 8188, 56, 50.12, 2490
2026/07/10 15:13:27.798, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7889, 8188, 61, 55.31, 2130
2026/07/10 15:14:27.847, NVIDIA GeForce RTX 4070 Laptop GPU, 73, 7889, 8188, 60, 49.09, 2490
2026/07/10 15:15:27.891, NVIDIA GeForce RTX 4070 Laptop GPU, 82, 7889, 8188, 59, 46.09, 2490
2026/07/10 15:16:27.932, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7225, 8188, 56, 38.78, 2490
2026/07/10 15:17:27.973, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7353, 8188, 57, 38.12, 2490
2026/07/10 15:18:28.031, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 42.80, 2490
2026/07/10 15:19:28.094, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 7923, 8188, 57, 27.38, 2490
